Timestamp,Open,High,Low,Close,Volume,y,Upper_Band,Lower_Band,Buy_Signal,Sell_Signal,EMA,TEMA,RSI
2024-11-01 14:54:00+00:00,70986.88,71050.0,70986.88,71035.99,38.10126,71136.32549825247,71250.59786951012,71022.05312699481,,,,71035.99,
2024-11-01 14:55:00+00:00,71036.0,71040.0,70934.0,70934.01,40.19428,71135.94746819636,71250.21983945402,71021.6750969387,,,,71009.53972897095,0.0
2024-11-01 14:56:00+00:00,70934.01,70984.0,70916.54,70983.99,73.67991,71135.15023707833,71249.42260833598,71020.87786582067,,,,71000.922981011,34.546226536196656
2024-11-01 14:57:00+00:00,70983.99,71168.0,70983.99,71167.99,36.81803,71133.86244338399,71248.13481464164,71019.59007212633,,,,71041.7533276846,72.37819452782779
2024-11-01 14:58:00+00:00,71167.99,71280.0,71162.0,71256.35,38.98612,71131.9817745448,71246.25414580245,71017.70940328714,,,,71098.15740005251,78.73469888199192
2024-11-01 14:59:00+00:00,71256.35,71312.0,71241.78,71271.17,46.56917,71129.39158527032,71243.66395652798,71015.11921401267,,,,71147.97300943136,79.58334767798914
2024-11-01 15:00:00+00:00,71271.17,71358.0,71257.57,71343.99,56.28687,71125.9651243881,71240.23749564575,71011.69275313044,,,,71207.16690889432,83.14311045910071
2024-11-01 15:01:00+00:00,71344.0,71360.0,71296.0,71298.18,36.83469,71121.59288295402,71235.86525421168,71007.32051169637,,,,71243.00337137884,74.35960456697383
2024-11-01 15:02:00+00:00,71298.19,71298.19,71219.99,71256.66,49.16988,71116.17922002074,71230.4515912784,71001.90684876309,,,,71260.62028604427,67.40872914248473
2024-11-01 15:03:00+00:00,71256.66,71278.0,71162.0,71162.01,42.22925,71109.65355458023,71223.92592583789,70995.38118332258,,,,71249.45260588835,54.826892981660855
2024-11-01 15:04:00+00:00,71162.01,71200.0,71121.45,71148.01,62.56192,71101.97819035422,71216.25056161187,70987.70581909656,,,,71235.68114598832,53.24386157019406
2024-11-01 15:05:00+00:00,71148.01,71185.93,71020.86,71059.99,48.4397,71093.1459193617,71207.41829061936,70978.87354810405,,,,71200.70132091214,44.537113545449444
2024-11-01 15:06:00+00:00,71059.99,71114.0,71028.0,71113.99,30.93956,71083.1850808632,71197.45745212086,70968.91270960555,,,,71185.37603545458,49.94503832882142
2024-11-01 15:07:00+00:00,71114.0,71205.5,71108.0,71154.0,40.84694,71072.15582683339,71186.42819809105,70957.88345557573,,,,71182.68396307637,53.558271780156716
2024-11-01 15:08:00+00:00,71154.0,71154.0,71106.0,71106.0,32.66872,71060.13481095881,71174.40718221647,70945.86243970116,,,,71167.58495903722,48.98940569033526
2024-11-01 15:09:00+00:00,71106.01,71110.34,70968.85,70974.0,38.17165,71047.21587102325,71161.4882422809,70932.94349976559,,,,71120.6185045088,39.10897845803335
2024-11-01 15:10:00+00:00,70974.0,71014.0,70922.0,70939.39,56.85718,71033.50083600367,71147.77320726133,70919.22846474602,,,,71073.01616533796,37.00176585453814
2024-11-01 15:11:00+00:00,70939.39,71028.0,70922.0,70946.0,30.69406,71019.0901195864,71133.36249084405,70904.81774832874,,,,71035.84964194932,37.69225752323855
2024-11-01 15:12:00+00:00,70946.0,71038.0,70946.0,71038.0,25.48903,71004.07642962827,71118.34880088593,70889.80405837062,,,,71029.59754495465,46.4841704740334
2024-11-01 15:13:00+00:00,71037.99,71038.0,70986.0,71001.06,21.65875,70988.53514563489,71102.80751689254,70874.26277437723,,,,71015.30991023919,43.8110486082992
2024-11-01 15:14:00+00:00,71001.05,71090.91,71001.05,71090.9,19.92128,70972.52654669422,71086.79891795188,70858.25417543657,,,,71027.36390701961,51.16620165744236
2024-11-01 15:15:00+00:00,71090.9,71090.91,70984.07,71004.2,33.73171,70956.0798817733,71070.35225303096,70841.80751051565,,,,71015.17580855479,45.038982740547624
2024-11-01 15:16:00+00:00,71004.2,71004.2,70935.84,70950.01,27.61637,70939.19930115665,71053.4716724143,70824.926929899,,,,70991.55696540607,41.67939231840264
2024-11-01 15:17:00+00:00,70950.01,71026.0,70942.0,70973.9,24.42211,70921.8557606206,71036.12813187826,70807.58338936295,,,,70978.90859126429,43.674136921767364
2024-11-01 15:18:00+00:00,70973.89,70973.9,70942.0,70959.98,14.98894,70903.98363811061,71018.25600936827,70789.71126685296,,,,70965.505418989,42.756491115804565
2024-11-01 15:19:00+00:00,70959.97,70959.97,70862.0,70910.59,38.35138,70885.4809808398,70999.75335209745,70771.20860958214,,,,70942.32551902853,39.578893672233804
2024-11-01 15:20:00+00:00,70910.58,70944.0,70810.0,70810.01,32.7022,70866.21361472602,70980.48598598367,70751.94124346836,,,,70897.93231349044,34.0320907060853
2024-11-01 15:21:00+00:00,70810.01,70832.0,70654.0,70664.0,111.31023,70846.0036584841,70960.27602974176,70731.73128722644,,,,70824.53701477042,27.91583811326086
2024-11-01 15:22:00+00:00,70664.0,70814.0,70656.22,70813.99,56.24794,70824.64200877598,70938.91438003363,70710.36963751832,,,,70804.44538490314,39.87076326453715
2024-11-01 15:23:00+00:00,70813.99,70831.97,70775.78,70775.79,23.36193,70801.88832433139,70916.16069558905,70687.61595307373,,,,70779.36434851715,38.136047103345376
2024-11-01 15:24:00+00:00,70775.78,70836.0,70760.0,70812.0,23.08048,70777.48841907176,70891.76079032941,70663.2160478141,,,,70769.55010950584,40.766851378666345
2024-11-01 15:25:00+00:00,70812.01,70828.19,70760.0,70778.01,36.76186,70751.17113539937,70865.44350665703,70636.89876414172,,,,70754.04489573193,39.08655611812184
2024-11-01 15:26:00+00:00,70778.01,70830.0,70778.0,70828.28,33.52823,70722.67053686618,70836.94290812383,70608.39816560852,,,,70755.72869344577,42.839052282881156
2024-11-01 15:27:00+00:00,70828.28,70884.0,70814.0,70884.0,46.83671,70691.74210329444,70806.0144745521,70577.46973203678,,,,70772.85759255112,46.75446211893896
2024-11-01 15:28:00+00:00,70884.0,70888.83,70832.0,70832.0,29.73057,70658.17579489341,70772.44816615107,70543.90342363575,,,,70774.56603484997,43.74309156242475
2024-11-01 15:29:00+00:00,70832.0,70873.99,70811.0,70873.98,22.6151,70621.80772541491,70736.08009667257,70507.53535415725,,,,70787.909864915,46.72626208193857
